1000000001100003311000033103DECAC100000005240710000000447542000020345121583F2018040720200923202406132025031300260030000000000000000000000000NON0000000000000000000000036687173Decouvert temporaire                    0000000000000000        
1000000002100004091000040904IMMAC100000406334050000036070575000441540121985F2018070820401010202412032025020302500271000000000000000000000000IMM0000050494364000000000038493235Acquisition appartement                 0000000000000000        
1000000003100000521000005201IMMAC100000461494200000042562615000521943083728F2022082220331222202403182024060300770138000000000000000000000000IMM0000070622891000000000029357138Achat terrain                           0000000000000000        
1000000004100002941000029409AUTAC100000018666120000001683073000034508125043F2021070920280203202407032025040100280080000000000000000000000000VEH0000001501418000000000030479798Achat utilitaire                        0000000000000000        
1000000005100001021000010205CONAC100000028937500000002061665000080454100760F2023120520270617202401312025060800240043000000000000000000000000NON0000000000000100002240003628704Soins medicaux                          0000000000000000        
1000000006100004051000040509IMMAC100000181404940000010962032000256060138324F2023100520351201202402142025081001200148000000000000000000000000IMM0000018504186000000000049176633Achat residence secondaire              0000000000000000        
1000000007100002211000022105IMMRS100000284286510000015484785000222634079746F2023020320460702202409272025121002220285002300000000000000000000IMM0000029599438000000000019106662Acquisition logement principal          2024030900000000        
1000000008100000101000001001CONAC100000026510520000001399286000076127096230F2020033120230813202410212024122900370041000900000000000000000000NON0000000000000100003960010316157Voyage                                  0000000000000000        
1000000009100000931000009302CONAC100000007340330000000456529000027514137052F2020073120230318202412022024080100130032000000000000000000000000NON0000000000000000000000028384245Mariage                                 0000000000000000        
1000000010100004801000048004AUTAC100000088759510000008111047000295297136620F2020050420230519202407132024022000290037002900000000000000000000VEH0000008267374100003950025718887Achat voiture neuve                     0000000000000000        
1000000011100000481000004803IMMAC100000361371320000033092548000352722106792F2021072120440122202407312024071401080274000000000000000000000000IMM0000065792012000000000024601197Achat terrain                           0000000000000000        
1000000012100002611000026102REVAC100000038580290000001261196000124222081504F2018092520210810202408102025102900200035000000000000000000000000NON0000000000000100003600006782028Carte de credit business                0000000000000000        
1000000013100004151000041507PROAC100000236943450000022941844001169490130081F2019060920210429202409222024060800050023000000000000000000000000NON0000000000000000000000003164153Acquisition fonds de commerce           0000000000000000        
1000000014100004111000041104PROAC100000125684840000008880043000327952086351F2020011420230925202407052024042200110045000000000000000000000000IMM0000008858334000000000041491311Tresorerie entreprise                   0000000000000000        
1000000015100003191000031906CONAC100000003435400000000166800000010333084382V2022032520250508202411022025062100110038000100000000000000000000NON0000000000000100000080023333517Financement etudes enfants              0000000000000000        
1000000016100002151000021502CONAC100000024511970000001695514000053974130699F2021062920260901202408312025042500580063001400000000000000000000NON0000000000000000000000009438560Frais divers                            0000000000000000        
1000000017100001881000018802IMMAC100000248890160000021068109000261920083437V2018120320310926202402182025021700730156000000000000000000000000IMM0000040230277100001160017293595Achat residence secondaire              0000000000000000        
1000000018100003381000033805CONSD400000023680540000001411319000054175132432F2021090520260810202408042025011800430060071202399999900001411317NON0000000000000100003780003884267Amenagement logement                    0000000000000000        
